question_id,question,composite_difficulty,difficulty_band,elo_difficulty_mean,elo_difficulty_sd,criticality_score,domain,glicko_rating,glicko_rd,glicko_volatility,faithfulness,answer_relevance,context_recall,composite_ragas
39810050-7f41-49c5-8e93-a8c3dac96570,How are usage examples generated for a package's components during documentation creation?,2.0,medium,1513.360379506029,1.25027044981392,1.0,Onboarding and Training,1662.3108949761174,290.3189646747521,0.06,0.6216,0.7341,0.8598,0.7385
44782556-505b-491a-8f8a-8f0dd44cbd28,Does the agent's controlled inventory process have a positive relationship with trading speed in an acquisition problem?,2.0,medium,1513.25799678852,1.2568010022603306,2.0,Research and Development,1662.3108949761174,290.3189646747521,0.06,0.7446,0.8871,0.6099,0.7472
ba135f3f-566d-4624-97a8-4000b4d3d405,Is there a unique solution to the phase problem if certain conditions are met?,1.6667,easy,1481.1165243679216,1.0453836787132629,2.0,Research and Development,1639.6065822019218,290.5055521733612,0.06000019753432067,0.7478,0.9053,0.7793,0.8108
74d2e4d8-17fc-4c27-bc72-3743bc8c325a,How can deep learning models be used to assess the risk of breast cancer recurrence?,1.6667,easy,1481.426975351434,1.0455265814434185,3.0,Medical and Health,1639.6065822019218,290.5055521733612,0.06000019753432067,0.6922,0.8938,0.9637,0.8499
b9d38f17-f803-4b5c-98d1-2d678c0e2835,Is learning the score function efficiently part of the algorithm's framework in diffusion models?,1.6667,easy,1481.1603620358358,1.0266451231994025,2.0,Research and Development,1639.6065822019218,290.5055521733612,0.06000019753432067,0.7295,0.8497,0.9329,0.8374
015f84f5-d694-4fad-bfa5-d2f3687bcd52,Is the accuracy of NVILA compromised for efficiency gains?,1.6667,easy,1481.276334618531,1.0807163721811297,2.0,Research and Development,1639.6065822019218,290.5055521733612,0.06000019753432067,0.7305,0.9315,0.7466,0.8029
de261def-2005-4f68-90cb-fc51b65ef12d,Does the probabilistic counter use more than $\mathcal{O}(1)$ bits to detect if it has exceeded a threshold?,1.6667,easy,1481.0496686877198,1.2473064344683213,2.0,Research and Development,1639.6065822019218,290.5055521733612,0.06000019753432067,0.7103,1.0,1.0,0.9034
1b943b7c-4717-4201-83c0-af1f8209b50e,What is done to ensure privacy in medical data used for speech summarization?,1.6667,easy,1481.4071743824225,1.156753811445419,3.0,Data Privacy and Security,1639.6065822019218,290.5055521733612,0.06000019753432067,0.615,0.8761,0.6972,0.7294
e480153c-529c-45fd-95de-c7336ac9c872,How does the concept of absolute sensitivity differ from traditional sensitivity analysis in CRNs?,1.6667,easy,1481.0154133925132,1.1028016666595897,2.0,Research and Development,1639.6065822019218,290.5055521733612,0.06000019753432067,0.7471,0.8277,0.5538,0.7095
93a9592d-a4ed-4c61-94c9-3f73cec11eae,Is there at most one cluster containing a non-empty set \( S \)?,1.6667,easy,1481.3693019695027,1.1483948775602484,2.0,Research and Development,1639.6065822019218,290.5055521733612,0.06000019753432067,0.6517,0.8532,0.8079,0.7709
89c10cda-3293-4d74-82a0-9ada2e548949,Is the missing data mechanism assumed to be Missing-At-Random (MAR)?,1.6667,easy,1481.0693110179593,1.1486200733780858,2.0,Research and Development,1639.6065822019218,290.5055521733612,0.06000019753432067,0.721,0.7094,0.8194,0.7499
9914e7cf-14f8-4a64-85f4-c35de05fdec9,Why is Cobb-Douglas technology significant in studying aggregate output fluctuations?,1.6667,easy,1481.2531577417367,1.129985230534209,2.0,Research and Development,1639.6065822019218,290.5055521733612,0.06000019753432067,0.7184,0.9051,0.8822,0.8352
a528047e-326a-4044-a0ee-344d950f938e,What is the Voting with Random Proposers (VRP) procedure?,1.3333,easy,1448.9576463570122,0.9603136450886125,1.0,General FAQ,1617.3036180932988,291.06156448978857,0.06000039711155784,0.7015,0.8028,0.7102,0.7382
2366d3e9-9075-4c57-8238-03e286056dee,Is the Semantic-Match Prompt effective for datasets similar to DeepMDatasets?,1.3333,easy,1449.018943583789,1.1185068872060018,2.0,Research and Development,1617.3036180932988,291.06156448978857,0.06000039711155784,0.7004,0.919,0.7384,0.7859
36f030c0-2cfe-4555-a271-e2207b65d9c5,Can spin-polarized STM on a magnetic impurity detect the winding of nodes in monolayer NbSe2?,,easy,1448.7661541257316,1.1313741884310677,2.0,Research and Development,1617.3036180932988,291.06156448978857,0.06000039711155784,0.7166,0.6256,0.7276,0.6899
e4aa5613-8f28-44a6-ac2a-4e3186c624e0,What does the masking-based approach result in for deformable object understanding?,1.3333,easy,1448.924281870843,1.016400096676692,2.0,Research and Development,1617.3036180932988,291.06156448978857,0.06000039711155784,0.7347,0.9504,0.8756,0.8536
061855bb-b000-474e-8e09-e27109c5e168,What happens if preferences violate single-peakedness in voting procedures?,1.3333,easy,1448.8554727000271,1.0368211827798268,2.0,Research and Development,1617.3036180932988,291.06156448978857,0.06000039711155784,0.7347,0.857,0.629,0.7402
7a890b29-3ae8-4c55-b9fb-39cfb1712a69,What happens to WER/MYB23 proteins when their complex disassociates?,1.3333,easy,1448.7326209149833,1.1183702305664944,2.0,Research and Development,1617.3036180932988,291.06156448978857,0.06000039711155784,0.6733,1.0,0.6484,0.7739
ce80e7b0-d3fc-4ac1-a386-6d1c9e8705bf,What are some properties that define a semi-metric used in max-sum matchings?,1.3333,easy,1448.817045923861,1.033400342060098,2.0,Research and Development,1617.3036180932988,291.06156448978857,0.06000039711155784,0.7386,0.9293,0.9142,0.8607
3d35579f-8ce6-48dc-b0c3-5aec506f73e1,Are the dwell times of an sMTJ distributed according to a Poisson distribution?,1.0,easy,1416.5872146758445,1.0673551024966559,2.0,Research and Development,1595.397059252697,291.9748962245152,0.0600005884480061,0.7273,0.8488,0.6386,0.7382
4566b6f3-8766-4294-bfe9-433b509c515e,What type of motion do the asset prices follow in the stochastic correlation model?,1.0,easy,1416.6208098019033,0.9825184906187998,2.0,Research and Development,1595.397059252697,291.9748962245152,0.0600005884480061,0.7028,0.8505,0.8276,0.7936
d435f496-2aa9-4c54-9aa1-138f5f383d3d,What is a functional dependency in relational data?,1.0,easy,1416.6952438303508,0.967035488349695,1.0,Informational,1595.397059252697,291.9748962245152,0.0600005884480061,0.7387,0.8468,0.7227,0.7694
adff226a-9c91-42aa-ab90-cc620dd93bf9,What is denoted by the joint survival function $\bar{F}(\boldsymbol{x})$?,1.0,easy,1416.5555106596355,1.0237812932201287,1.0,Informational,1595.397059252697,291.9748962245152,0.0600005884480061,0.7297,0.9545,0.8323,0.8388
b16783f0-6596-41be-9514-10982968030f,What is the expression for the AC Stark shift of the atomic ground state?,1.0,easy,1416.64169150813,0.9736475996714825,2.0,Research and Development,1595.397059252697,291.9748962245152,0.0600005884480061,0.7177,0.8943,0.8142,0.8087
57974a20-83f8-4a30-b935-ca111cc76f08,Are participants allowed unsupervised access to firearms during the training session?,1.0,easy,1416.6475021871715,1.081725509483329,3.0,Safety and Risk,1595.397059252697,291.9748962245152,0.0600005884480061,0.7437,0.791,0.921,0.8186
dbdd7c09-cfff-4574-b8e1-2093fd40d596,Why might it be tempting to assume that control programs are not encouraged by their assignments?,2.0,medium,1489.1386698037124,1.2402929504333708,1.0,General FAQ,1337.6891050238826,290.3189646747521,0.06,0.7558,0.5797,0.5884,0.6413
dd7ed606-2c61-4846-8ac4-f64e07d3896d,Is it necessary for an agent to consider dependencies between different dimensions of state space for efficient computation?,2.0,medium,1489.3660517498058,1.0757010606528759,2.0,Research and Development,1337.6891050238826,290.3189646747521,0.06,0.7733,0.7878,0.5811,0.7141
73b2f637-40f8-488a-80fc-f5563db69a8d,What is the purpose of action quality assessment in various fields?,1.6667,easy,1457.0553274738043,1.0834511719323812,1.0,Informational,1314.567391617471,290.5055510397336,0.059999813642104605,0.9127,0.9164,0.6679,0.8323
2a70ee21-b70e-4a8f-916e-d3ee5fb08883,What was the primary significance of foundations in ancient Greece?,1.6667,easy,1457.1857518796883,1.0987117295713236,1.0,Informational,1314.567391617471,290.5055510397336,0.059999813642104605,0.9116,0.7739,0.7934,0.8263
0b2262f0-aa60-4f14-bab9-44d741209b95,How does DELTA improve document-level translation?,1.6667,easy,1456.9849141364766,1.0799400803005954,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,0.8463,0.9184,0.5981,0.7876
244fbf0f-f43d-4180-9d97-0597869c3868,Does the generic transitivity of an idempotent type imply that it equals its inverse?,1.6667,easy,1456.9923648242016,1.218268641401013,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,1.0,1.0,0.8324,0.9441
bbe46a54-3249-4fe1-807a-0dad73e03a7e,How are spatial and temporal characteristics analyzed in SAR imaging?,1.6667,easy,1457.1603651113064,1.1156883566091733,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,0.8428,1.0,0.9965,0.9464
76055a25-6c2d-4044-8978-ba8a937c8963,How does structured input-output modeling differ from traditional resolvent analysis?,1.6667,easy,1457.049350054895,1.0432681278242377,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,0.836,0.8705,0.8214,0.8426
945e2eb2-156e-4a5e-b4f9-26020e46a538,How do upper adjacencies differ from lower adjacencies for simplices?,1.6667,easy,1457.0893974389692,1.1237516420936886,1.0,Informational,1314.567391617471,290.5055510397336,0.059999813642104605,0.7934,0.8986,0.7289,0.807
1f5c19c9-39a0-4c9b-b027-eefe52b7e905,What leads to low anticipatory utility when news is bad?,1.6667,easy,1456.8927181844304,1.0671124396777916,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,0.7828,0.7395,0.8261,0.7828
3462335f-06ba-4f3d-a84d-f17bd349f58d,Why are onset annotations considered subjective in sound events?,1.6667,easy,1456.8642688686025,1.1319414960776655,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,0.7772,0.8518,0.8486,0.8259
8d1dddca-2a98-4552-9e36-0e740531970f,Is an empirical study based on a finite number of experimental conditions?,1.6667,easy,1457.0873523358034,1.0956615152655844,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,0.9695,0.8107,0.8965,0.8922
1ae79931-4763-4692-838d-5e4b0bbe63c7,What type of data does recent advancements in Long-Term Series Forecasting focus on using with a Channel Independent approach?,1.6667,easy,1456.789656846013,1.1827611993156397,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,0.8212,0.9185,0.8391,0.8596
74aa3150-1253-42dc-aaaf-8b1cb9e96455,Are Bayesian persuasion and cheap talk equivalent under the learning agent model?,1.6667,easy,1457.1036399298223,1.1227206157087453,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,0.812,0.745,0.6308,0.7293
6f1e268c-3189-47a9-9500-fd6b10d27c62,What benefits does the XAI-CHEST framework offer over traditional deep learning-based channel estimation methods?,1.6667,easy,1457.0559743722372,1.0067226145095176,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,0.7844,0.939,0.6873,0.8036
3a5ebf09-9fb8-44e8-98db-bae4cd4c329b,Is there always a Hamiltonian cycle that is a Tverberg graph for finite planar point sets?,1.6667,easy,1456.757167191048,1.1987648899390217,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,0.8328,0.8547,0.7882,0.8252
5517b1a4-ac90-4492-b474-329016b737f2,Is the Gene Ontology suitable for learning hyperbolic representations?,1.6667,easy,1457.2381323537138,1.0236809255584782,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,0.7851,0.843,0.8844,0.8375
57a27b99-452b-4883-93d0-6f316766513a,What is glfBLUP and how does it address issues in genomic prediction?,1.6667,easy,1456.9894506346054,1.1088096556222493,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,0.8865,0.8721,0.7434,0.834
b4bca301-33d1-46bf-b32c-aacd2bdb074d,How does Stubborn Nakamoto handle potential consistency violations differently from the original Nakamoto protocol?,1.6667,easy,1457.005873148392,1.1814939910229878,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,0.8438,0.8325,0.6309,0.7691
5c6a0b72-e091-4f4e-939d-9a9d7f385962,In what domains has the GAN architecture demonstrated superior performance?,1.6667,easy,1456.7775749770708,1.010039309105049,,FLAGGED,1314.567391617471,290.5055510397336,0.059999813642104605,0.773,0.8289,0.7597,0.7872
a615f693-531b-4dc5-ad47-c2efcde3150e,Can market segments differ in any strongly monotone and saturated segmentation if the uniform price exceeds θ₁?,1.6667,easy,1456.9617645737421,1.1403606182489263,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,0.8222,1.0,0.7637,0.862
a6a97448-b831-4840-8fd1-18187fe1a3cf,What role does the CPC complex play in WER transcriptional regulation?,1.6667,easy,1456.9941907132875,1.1155893634509622,2.0,Research and Development,1314.567391617471,290.5055510397336,0.059999813642104605,0.8565,0.913,0.8374,0.869
b6957146-85d0-471b-9783-f8f648e4c3c8,What does the winding number \( Q(C) \) depend on?,1.3333,easy,1424.66556616102,0.9843836050099004,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,0.8552,0.8843,0.79,0.8432
58b22e39-3154-455d-95c0-8e5b6b7a02a9,Is there a unique segmentation when the uniform price of $\mu$ is greater than $\theta_{1}$?,1.3333,easy,1424.8036035939244,1.0510405776945257,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,0.9607,0.8872,0.8608,0.9029
6bc2ab72-a7ee-4cf6-a40f-4caf56d1533c,What does it mean for a foundation to be consistent?,1.3333,easy,1424.6263725484364,1.1305812354219575,1.0,Informational,1291.0190220433262,291.0615622722577,0.059999650461355115,1.0,0.8475,0.7337,0.8604
b4595669-6205-48df-8fe6-c4a26a0ddfad,Can a PoS protocol regain liveness once an honest majority is restored?,1.3333,easy,1424.8312537076135,0.9654310543476157,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,1.0,1.0,0.8356,0.9452
3a858f3f-4998-4a20-acd2-820129b28637,What is the role of an impurity in detecting topological quantities in 2D superconducting systems?,1.3333,easy,1424.6412989219107,1.1009719701473326,,FLAGGED,1291.0190220433262,291.0615622722577,0.059999650461355115,0.7716,0.8538,0.9003,0.8419
adc9cb43-aef8-456c-90a0-5fd152c856cd,What types of point spread functions are used in simulation-based methods for generating density maps?,1.3333,easy,1424.7724863994401,1.038747982188806,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,0.9078,0.876,0.7697,0.8512
45798190-9b79-490b-a009-27f6cd82f871,Is there a Wald-type estimator formulated for SWATE?,1.3333,easy,1424.6603372959505,1.0210997526498586,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,0.7538,0.851,0.748,0.7843
57c2bbd1-5823-4dca-b4b3-245a6e99f0cb,What is a dominant strategy for candidate 1 when combining a large valence advantage with policy motivation?,1.3333,easy,1424.7203250386278,1.0610797682167137,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,0.8086,0.8128,0.6993,0.7736
3e51db10-5940-4f4f-8afb-29f7ceecf014,How many groups are there for categorizing severity based on speech intelligibility ratings?,1.3333,easy,1424.7113877383674,1.054421446075634,1.0,General FAQ,1291.0190220433262,291.0615622722577,0.059999650461355115,0.8041,0.7971,0.6058,0.7357
f0eb092f-70d9-495a-abcf-2766704a638e,What role does mean square prediction error play in evaluating linear predictors?,1.3333,easy,1425.017491064334,1.1240007394540295,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,0.7817,0.9969,0.6682,0.8156
10ae9fe2-6ced-4897-a781-bf097a8b4e62,Is every nonempty subset of a left zero semigroup also a subsemigroup?,1.3333,easy,1424.6583412084708,0.9864481594288055,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,0.8195,0.8669,0.8271,0.8378
e7691211-362d-4e49-a821-188105863a46,Why is it important to address intrasample heterogeneity in survival modeling?,1.3333,easy,1424.7324952635704,1.178031512150134,,FLAGGED,1291.0190220433262,291.0615622722577,0.059999650461355115,0.8043,0.8767,0.718,0.7997
5c4c70d3-ccac-46ee-9f5f-e77a505207ef,Are definitions considered arbitrary constructs in mathematics?,1.3333,easy,1424.7695525194638,1.044149921917341,1.0,Informational,1291.0190220433262,291.0615622722577,0.059999650461355115,0.8353,0.9977,0.5077,0.7802
16fd0b9b-5a17-49fc-b317-a096df5f680c,Can flux-balance laws be applied in the absence of spin for spinning bodies under gravitational self-force?,1.3333,easy,1424.641253724685,1.0152960140931049,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,0.8059,0.9653,0.8073,0.8595
1ee3b2a7-e5ff-4f6e-8a3d-907c439658c7,What challenges are associated with finding block antecedents in JPEG forensics?,1.3333,easy,1424.700858363169,0.8698451545953467,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,0.8272,0.8376,0.8156,0.8268
024b9722-075d-4f35-8769-0e1ad6d2747d,What is a Gaussian process (GP) characterized by?,1.3333,easy,1424.850183968971,1.0774112318416935,1.0,Informational,1291.0190220433262,291.0615622722577,0.059999650461355115,0.904,0.7418,0.8378,0.8279
782b73e6-acc4-43ed-a6ae-97a9f4039769,What challenges do large position holders face when executing trades in financial markets?,1.3333,easy,1424.8955477491909,0.9211146141685753,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,0.7908,0.8717,0.7623,0.8083
adc69681-d299-4fe0-8072-265e8fded982,Do adaptive dynamics models restrict the phenotype space?,1.3333,easy,1424.492119489121,0.9884719225942097,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,0.7728,0.9011,0.7958,0.8232
2fab68df-dea2-46a3-8088-ca5e18ea843c,How does Pygen aim to enhance the process of Python package creation?,1.3333,easy,1424.7171253594436,1.0934008157600859,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,0.9306,0.9143,0.9589,0.9346
9c971dfd-8291-43bb-83ff-eb89ed532319,Is a wider standard deviation indicative of higher or lower uncertainty in predictions with MC dropout?,1.3333,easy,1424.6031209853786,0.9984914832090577,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,0.8383,0.782,0.6395,0.7533
908eb619-5262-4a33-8cbd-725c932e7689,What happens to the biased Werner density matrix when $p_A = p_B = \frac{1}{2}$?,1.3333,easy,1424.8480724204603,0.9968504514876894,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,0.9851,1.0,0.7703,0.9185
3c819e80-2b92-43c1-88f8-ea352f7bea33,Do feedback Nash equilibria map game states to players' controls?,1.3333,easy,1424.729813558061,1.1176072155901533,2.0,Research and Development,1291.0190220433262,291.0615622722577,0.059999650461355115,0.8851,0.9395,0.8497,0.8914
a590374c-77fa-4b96-9fab-eb6a9d684fe7,What is the purpose of synthesizers in sound synthesis?,1.0,easy,1392.4249880857917,0.9622015754829901,1.0,Informational,1267.061532635744,291.97489301359957,0.05999951743623787,0.9929,0.8011,0.763,0.8523
1a3eb39c-4d34-4b72-ac61-d592715385b5,What is the focus of mean-variance optimization in life insurance contracts?,1.0,easy,1392.2822737942122,1.0482307413891725,2.0,Research and Development,1267.061532635744,291.97489301359957,0.05999951743623787,0.7519,0.9778,0.773,0.8342
33a6bf61-c5c9-4453-94f1-e6aa37a696ed,How is the index assigned to a zero of $f$ if the determinant of its Jacobian is positive?,1.0,easy,1392.3697907990236,1.0429155769569929,2.0,Research and Development,1267.061532635744,291.97489301359957,0.05999951743623787,0.8266,0.9702,0.8414,0.8794
2cdd1fa3-5794-4a12-84b1-b5c5c524a9d7,What is the method used to detect the winding around Dirac cones in graphene?,1.0,easy,1392.602589868146,0.958037797454395,2.0,Research and Development,1267.061532635744,291.97489301359957,0.05999951743623787,0.8672,0.961,0.8071,0.8784
32e01319-0f13-4749-9340-9f5f3dffcbc3,What is the primary use case for the AutoML package in PyGen?,1.0,easy,1392.4746857141156,0.9599139854853082,2.0,Product and Technical Specs,1267.061532635744,291.97489301359957,0.05999951743623787,0.7963,0.8941,0.8226,0.8377
e3e846eb-320c-43bb-8049-dd55a1d4e85f,What is the action considered in the U(1) gauge x U(1) global model?,1.0,easy,1392.450490082169,0.9999398249888315,2.0,Research and Development,1267.061532635744,291.97489301359957,0.05999951743623787,0.8835,0.8622,0.6282,0.7913
a3c0466b-b67f-4ba1-901c-3a3017d8330c,Is it necessary to explicitly teach correspondence between genes and proteins to the OmniBioTE model?,1.0,easy,1392.5176527109734,0.9921287752617503,2.0,Research and Development,1267.061532635744,291.97489301359957,0.05999951743623787,0.7534,0.8986,0.8028,0.8183
685cea83-fba8-4938-bfc5-fdaaace836fc,What do discriminative probabilistic models learn in supervised learning?,1.0,easy,1392.5003063880192,1.0075242707413603,1.0,Informational,1267.061532635744,291.97489301359957,0.05999951743623787,0.8419,0.9497,0.8146,0.8687
6722ea4f-d84c-4b58-92d7-9d5edf35030e,What wavelength is the laser operating on when collecting atoms in a magneto-optical trap (MOT)?,1.0,easy,1392.482035079124,0.9986920977613306,2.0,Research and Development,1267.061532635744,291.97489301359957,0.05999951743623787,0.8879,0.8854,0.8218,0.865
ccc11659-f558-4052-a58d-9211978badbd,Is an accent classifier used to determine if input audio is native or non-native?,1.0,easy,1392.4086880735995,1.0795768838437645,2.0,Product and Technical Specs,1267.061532635744,291.97489301359957,0.05999951743623787,0.8037,0.795,0.7318,0.7768
ac9aaf2c-7e56-46a0-ab31-9823e949e91f,Is FAST a hybrid simulator?,1.0,easy,1392.3385035424244,1.002394976603836,2.0,Product and Technical Specs,1267.061532635744,291.97489301359957,0.05999951743623787,0.7609,0.9052,0.9226,0.8629
431d2179-fff2-4909-97e2-32c3316847ca,How does heterogeneity in microbial infectivity affect infection probability?,1.0,easy,1392.4766798192657,1.0168747757150574,,FLAGGED,1267.061532635744,291.97489301359957,0.05999951743623787,0.8786,0.9369,0.8773,0.8976
977d4dc9-f108-4fe9-bfa3-85af1dd4201a,Are p-values under the null hypothesis i.i.d. from a uniform distribution?,1.0,easy,1392.3646780135698,0.9495149071042305,2.0,Research and Development,1267.061532635744,291.97489301359957,0.05999951743623787,0.7504,0.8621,0.8167,0.8097
585372bd-8259-4072-a2fe-0f3257af3253,What is the purpose of using jackknife samples in halo profile estimation?,1.0,easy,1392.3732249917332,0.9863862239072471,2.0,Research and Development,1267.061532635744,291.97489301359957,0.05999951743623787,0.889,0.8458,0.8074,0.8474
6f81e419-79fe-47b4-b605-bf68fee82992,What is the purpose of using synthetic audio data in machine learning?,1.0,easy,1392.4271148234884,1.003004924618957,2.0,Research and Development,1267.061532635744,291.97489301359957,0.05999951743623787,0.9506,0.8976,0.7448,0.8643
b54940c9-1999-4860-b3fc-1c615809eed2,What is the recommended trading action for Tesla?,1.0,easy,1392.5155363280305,0.9074689854642022,3.0,Pricing and Financial,1267.061532635744,291.97489301359957,0.05999951743623787,0.8646,0.8436,0.6552,0.7878
2d8f71a5-b403-4d19-82fe-b0d1f674a5b0,What is the primary advantage of the 'mirrored' optical lever?,1.0,easy,1392.3570605453062,0.9276684835890129,2.0,Research and Development,1267.061532635744,291.97489301359957,0.05999951743623787,0.7995,0.804,0.7527,0.7854
1b6acfcc-9a2b-4849-a8ba-df2af070b9be,How early after the Big Bang did CMB measurements confirm coherence on horizon scales?,1.0,easy,1392.3603292309356,1.085172680766341,2.0,Research and Development,1267.061532635744,291.97489301359957,0.05999951743623787,1.0,0.8143,0.8822,0.8988
70688509-5161-4cda-997d-ee2e5628e3c1,"Is the function \( L(x, y, t_{\epsilon}) \) quadratic in \( x \)?",1.0,easy,1392.355579479417,1.0570838846613602,2.0,Research and Development,1267.061532635744,291.97489301359957,0.05999951743623787,0.9559,0.9468,0.8293,0.9107
c923f498-6a35-42ac-97cc-10fbcf83bb1d,Can there be multiple SQL queries for a single natural language query in NL2SQL?,1.0,easy,1392.3429087007942,0.9740458524061002,2.0,Research and Development,1267.061532635744,291.97489301359957,0.05999951743623787,0.9663,0.7849,0.7196,0.8236
e8501c63-dbf4-4345-b3b7-37c368e6ee8c,What does it mean for two stable groups to be principal?,1.0,easy,1392.512603674299,1.031313176938963,2.0,Research and Development,1267.061532635744,291.97489301359957,0.05999951743623787,0.8009,0.7779,0.6653,0.748
